Crash ID,$1000 Damage to Any One Person's Property,Agency,Case ID,City,Contributing Factors,County,Crash Date,Crash Severity,Fatal Crash Flag,Intersecting Street Number,Nearest Trauma Center,Nearest Trauma Center Distance,Region,Contributing Factor 1,Contributing Factor 2,Contributing Factor 3,Driver Zip Code,Lessee/Owner Zip Code,Vehicle Hit and Run Flag,VIN,Person Age,Person Gender,Person Injury Severity,Person Non-Suspected Serious Injury Count,Person Number,Physical Location of An Occupant
20741685,No,MINERAL WELLS POLICE DEPARTMENT,250000633,MINERAL WELLS,BACKED WITHOUT SAFETY,PALO PINTO,2025-04-07,N - NOT INJURED,0,NO DATA,211 - PALO PINTO GENERAL HOSPITAL,3.133,NE,3 - BACKED WITHOUT SAFETY,No Data,No Data,76067,76067,No,1FADP3F28GL336680,56,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20741751,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068594,SAN ANTONIO,DROVE WITHOUT HEADLIGHTS;UNSAFE SPEED,BEXAR,2025-04-07,99 - UNKNOWN,0,NO DATA,187 - MISSION TRAIL BAPTIST HOSPITAL,5.468,40,21 - DROVE WITHOUT HEADLIGHTS,60 - UNSAFE SPEED,No Data,,78223,Yes,5XXGM4A74EG264768,No Data,99 - UNKNOWN,99 - UNKNOWN,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20741753,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068635,SAN ANTONIO,FAILED TO CONTROL SPEED; FAILED TO DRIVE IN SINGLE LANE; UNDER INFLUENCE - ALCOHOL,BEXAR,2025-04-07,N - NOT INJURED,0,NO DATA,12 - BAPTIST MEDICAL CENTER,1.818,40,23 - FAILED TO DRIVE IN SINGLE LANE,22 - FAILED TO CONTROL SPEED,No Data,78210,78154,No,2GCEC19T911285237,23,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20741777,Yes,VENUS POLICE DEPARTMENT,2025086116,VENUS,FAILED TO CONTROL SPEED; FAULTY EVASIVE ACTION,ELLIS,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,264 - TEXAS HEALTH HOSPITAL MANSFIELD,7.059,,22 - FAILED TO CONTROL SPEED,41 - FAULTY EVASIVE ACTION,No Data,76065,76065,No,4XARSY992R8075094,14,2 - FEMALE,C - POSSIBLE INJURY,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20741784,Yes,LITTLE ELM POLICE DEPARTMENT,25057081,FRISCO,FAILED TO DRIVE IN SINGLE LANE,DENTON,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,"154 - MEDICAL CITY FRISCO, A MEDICAL CENTER OF PLANO FACILITY",4.191,,23 - FAILED TO DRIVE IN SINGLE LANE,No Data,No Data,76227,76227,No,1N4BL4EV6LC271875,42,2 - FEMALE,C - POSSIBLE INJURY,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20741795,Yes,SAN ANTONIO POLICE DEPARTMENT,SAPD25068648,SAN ANTONIO,FAILED TO CONTROL SPEED; FAILED TO DRIVE IN SINGLE LANE; UNDER INFLUENCE - ALCOHOL,BEXAR,2025-04-07,99 - UNKNOWN,0,NO DATA,12 - BAPTIST MEDICAL CENTER,1.272,40,23 - FAILED TO DRIVE IN SINGLE LANE,22 - FAILED TO CONTROL SPEED,No Data,,299026,Yes,WBAFR7C59DC828808,No Data,1 - MALE,99 - UNKNOWN,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20741827,No,TYLER POLICE DEPARTMENT,25-004982,TYLER,PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE,SMITH,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,2.045,,No Data,No Data,No Data,75762,75762,No,KNDJF723977349629,18,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20741827,No,TYLER POLICE DEPARTMENT,25-004982,TYLER,PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE,SMITH,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,2.045,,No Data,No Data,No Data,75762,75762,No,KNDJF723977349629,21,2 - FEMALE,N - NOT INJURED,0,2,3 - FRONT RIGHT
20741827,No,TYLER POLICE DEPARTMENT,25-004982,TYLER,PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE,SMITH,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,2.045,,No Data,No Data,No Data,75762,75762,No,KNDJF723977349629,20,1 - MALE,N - NOT INJURED,0,3,5 - SECOND SEAT CENTER
20741827,No,TYLER POLICE DEPARTMENT,25-004982,TYLER,PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE,SMITH,2025-04-07,C - POSSIBLE INJURY,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,2.045,,59 - PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE,No Data,No Data,No Data,No Data,No Data,No Data,28,2 - FEMALE,C - POSSIBLE INJURY,0,1,"16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE"
