"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 04/08/2025. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 311 Crashes containing 605 Units and 737 Persons"

"Filters Applied to current Query:"
"Crash Date Is Between  2025-04-04 00:00 and 2025-04-07 23:59"
""


"Crash ID","$1000 Damage to Any One Person's Property","Agency","Case ID","City","Contributing Factors","County","Crash Date","Crash Severity","Fatal Crash Flag","Intersecting Street Number","Nearest Trauma Center","Nearest Trauma Center Distance","Region","Contributing Factor 1","Contributing Factor 2","Contributing Factor 3","Driver Zip Code","Lessee/Owner Zip Code","Vehicle Hit and Run Flag","VIN","Person Age","Person Gender","Person Injury Severity","Person Non-Suspected Serious Injury Count","Person Number","Physical Location of An Occupant"
"20737482","Yes","WEBSTER POLICE DEPARTMENT","WBPD2500791","WEBSTER","FAILED TO CONTROL SPEED; FAILED TO DRIVE IN SINGLE LANE","HARRIS","2025-04-04","N - NOT INJURED","0","NO DATA","115 - HCA HOUSTON HEALTHCARE CLEAR LAKE","1.751","","23 - FAILED TO DRIVE IN SINGLE LANE","22 - FAILED TO CONTROL SPEED","No Data","77550","75261","No","5N1BT3BB3SC819680","52","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20737700","Yes","LUBBOCK POLICE DEPARTMENT","250010381","LUBBOCK","BACKED WITHOUT SAFETY","LUBBOCK","2025-04-04","N - NOT INJURED","0","NO DATA","No Data","No Data","1","3 - BACKED WITHOUT SAFETY","No Data","No Data","79401","79401","No","1FM5K8AB3LGD08947","33","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20737707","Yes","BEAUMONT POLICE DEPARTMENT","2025006246","BEAUMONT","FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE","JEFFERSON","2025-04-04","B - SUSPECTED MINOR INJURY","0","NO DATA","58 - CHRISTUS SOUTHEAST TEXAS - ST. ELIZABETH","2.921","","34 - FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE","No Data","No Data","","77705","Yes","3FA6P0H78GR193019","No Data","2 - FEMALE","99 - UNKNOWN","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20737707","Yes","BEAUMONT POLICE DEPARTMENT","2025006246","BEAUMONT","FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE","JEFFERSON","2025-04-04","B - SUSPECTED MINOR INJURY","0","NO DATA","58 - CHRISTUS SOUTHEAST TEXAS - ST. ELIZABETH","2.921","","No Data","No Data","No Data","77706","77706","No","1HGCV1F33NA108637","23","1 - MALE","B - SUSPECTED MINOR INJURY","1","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20737773","Yes","CARSON COUNTY SHERIFF'S OFFICE","202500002226","OUTSIDE CITY LIMITS","ANIMAL ON ROAD - DOMESTIC","CARSON","2025-04-04","N - NOT INJURED","0","NO DATA","208 - PAMPA REGIONAL MEDICAL CENTER","12.217","","1 - ANIMAL ON ROAD - DOMESTIC","No Data","No Data","79065","79065","No","3GTU2NEC0HG304187","26","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20737873","Yes","FORT WORTH POLICE DEPARTMENT","250023934","FORT WORTH","OTHER (EXPLAIN IN NARRATIVE)","TARRANT","2025-04-04","N - NOT INJURED","0","NO DATA","78 - COOK CHILDRENS MEDICAL CENTER","6.027","WE","98 - OTHER (EXPLAIN IN NARRATIVE)","No Data","No Data","76114","76114","No","1FAFP34N57W251476","26","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20737873","Yes","FORT WORTH POLICE DEPARTMENT","250023934","FORT WORTH","OTHER (EXPLAIN IN NARRATIVE)","TARRANT","2025-04-04","N - NOT INJURED","0","NO DATA","78 - COOK CHILDRENS MEDICAL CENTER","6.027","WE","No Data","No Data","No Data","76135","76135","No","JN8AS5MVXBW677854","24","2 - FEMALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20737873","Yes","FORT WORTH POLICE DEPARTMENT","250023934","FORT WORTH","OTHER (EXPLAIN IN NARRATIVE)","TARRANT","2025-04-04","N - NOT INJURED","0","NO DATA","78 - COOK CHILDRENS MEDICAL CENTER","6.027","WE","No Data","No Data","No Data","76114","76114","No","1C4PJLDB6LD504946","55","2 - FEMALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20737973","Yes","MONTGOMERY COUNTY SHERIFF'S OFFICE","25A098956","OUTSIDE CITY LIMITS","FAILED TO DRIVE IN SINGLE LANE","MONTGOMERY","2025-04-04","N - NOT INJURED","0","NO DATA","123 - HCA HOUSTON HEALTHCARE TOMBALL","8.526","","23 - FAILED TO DRIVE IN SINGLE LANE","No Data","No Data","77354","77354","No","1N6ED1EJ9RN652436","65","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20738002","Yes","COLLIN COUNTY SHERIFF'S OFFICE","25072578","OUTSIDE CITY LIMITS","FAILED TO CONTROL SPEED","COLLIN","2025-04-04","N - NOT INJURED","0","NO DATA","19 - BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE","10.714","1","22 - FAILED TO CONTROL SPEED","No Data","No Data","75243","75243","No","5J6YH28345L019012","22","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
